Product ID,Product Ingredients
T1,"Hydrofluorocarbon 152a, Butane, Alcohol Denat. (Sd Alcohol 40-B), Oryza Sativa (Rice) Starch, Argania Spinosa (Argan) Kernel Oil, Hydrolyzed Vegetable Protein, Disteardimonium Hectorite, Diisopropyl Adipate, Fragrance"
T2,"Butane, Isobutane, Propane, Oryza Sativa (Rice) Starch, Alcohol Denat, Fragrance, Cocoyl Hydrolyzed Keratin, Cetrimonium Chloride, Distearyldimonium Chloride."
T3,"Butane, Hydrofluorocarbon 152a, Oryza Sativa Rice Starch, Alcohol Denat., Fragrance, Cocoyl Hydrolyzed Keratin, Distearyldimonium Chloride, Cetrimonium Chloride"
T8,"Butane, Isobutane, Propane, Alcohol Denat., Oryza Sativa (Rice) Starch, Tapioca Starch, Silica, Fragrance, Laminaria Saccharina Extract, Ascophyllum Nodosum Extract, Glycerin, Distearyldimonium Chloride, Cetrimonium Chloride."
T10,"Butane, Hydrofluorocarbon 152a, Oryza Sativa (Rice) Starch, Alcohol Denat., Aluminium Starch Octenylsuccinate, Crambe Abyssinica (Abyssinian) Seed Oil, Parfum (Fragrance), Cocoyl Hydrolyzed Keratin, Hydrolyzed Collagen, Distearyldimonium Chloride, Cetrimonium Chloride, Linalool, Hexyl Cinnamal, Limonene, Citronellol."
T11,"Water, Sodium C14-16 Olefin Sulfonate, Polyquaternium 7, Cocamidopropyl Betaine, Cocamide Mipa, Glycol Stearate, Fragrance (Parfum), Glycerin, Phenoxyethanol, Sodium Chloride, Panthenol, Polyquaternium-10, Benzoic Acid, Ricinus Communis (Castor) Seed Oil, Disodium Edta, Mentha Piperita (Peppermint) Oil, Phytantriol, Citric Acid, Ethylhexyglycerin, Glycereth-2 Cocoate, Rosemarinus Officinalis (Rosemary) Leaf Oil, Equisetum Arvense (Horsetail Grass) Extract, Orbignya Oleifera Seed Oil, Honey, Urtica Dioico (Nettle) Extract, Anthemis Nobilis (Chamomile) Flower Extract, Symphytum Officinale (Comfrey) Leaves Extract, Humulus Lupulus (Hops) Extract, Ethanol, Lawsonia Inermis (Henna) Extract, Biotin."
T12,"Water (Aqua), Sodium Methyl Cocoyl Taurate, Decyl Glucoside, Cocamidopropyl Betaine, Cocos Nucifera (Coconut) Fruit Extract, Hydrolyzed Milk Protein, Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, Coco-Glucoside, Amodimethicone, Guar Hydroxypropyltrimonium Chloride, Hydrogenated Castor Oil, Glycol Distearate, Peg-150 Distearate, Hexylene Glycol, Citric Acid, Sodium Hydroxide, Sodium Benzoate, Fragrance (Parfum)."
T13,"Water (Eau), Sodium C12-13 Pareth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Persea Gratissima (Avocado) Oil, Cocoa Nucifera (Coconut) Oil, Argania Spinosa Kernel Oil, Dimethiconol, Fragrance (Parfum), Citric Acid, Sodium Benzoate, Glycerin, Glycol Distearate, Carbomer, Sodium Laureth Sulfate, Tea-Dodecylbenzenesulfonate, Cocamide Mea, Guar Hydroxypropyltrimonium Chloride, Disodium Edta, Peg-45m, Ppg-9, Alpha-Isomethyl Ionone, Benzyl Alcohol, Coumarin, Hexyl Cinnamal, Limonene, Linalool, Mica (Ci 77019), Titanium Dioxide (Ci 77891)."
T14,"Water, Sodium Cocoyl Isethionate, Lauramidopropyl Betaine, Cocamidopropyl Betaine, Sodium Lauroyl Sarcosinate, Fragrance, Sodium Benzoate, Polyquaternium-10, Sodium Salicylate, Sodium Citrate, Citric Acid"
T16,"Water, Sodium Cocoyl Isethionate, Lauramidopropyl Betaine, Cocamidopropyl Betaine, Sodium Lauroyl Sarcosinate, Fragrance, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Panthenol, Panthenyl Ethyl Ether, Tocopheryl Acetate, Histidine, Polyquaternium-10, Citric Acid, Sodium Citrate, Sodium Benzoate, Sodium Salicylate, Tetrasodium Edta"
T18,"Water (Aqua/Eau), Sodium Lauroyl Methyl Isethionate, Glycerin, Sodium Methyl Cocoyl Taurate, Peg-120 Methyl Glucose Dioleate, Cocamidopropyl Hydroxysultaine, Sodium Methyl Isethionate, Lauric Acid, Acrylates Crosspolymer-4, Trisodium Ethylenediamine Disuccinate, Glycol Distearate, Phenoxyethanol, Propoxytetramethyl Piperidinyl Dimethicone, Polyquaternium-7, Sodium Laurate, Guar Hydroxypropyltrimonium Chloride, Methyl Gluceth-10, Caprylyl Glycol, Potassium Sorbate, Trideceth-6, Saccharomyces (Rice) Ferment Filtrate, Hexylene Glycol, Citric Acid, Hydroxypropyl Methylcellulose, Sodium Chloride, Sodium Benzoate, C11-15 Pareth-7, Butylene Glycol, Sodium Benzotriazolyl Butylphenol Sulfonate, Ethylhexylglycerin, Benzoic Acid, Dehydroacetic Acid, Fragrance (Parfum), Citral, Citronellol, Limonene, Linalool, Ext. D&C Violet 2 (Ci 60730), Red 33 (Ci 17200)."
T20,"Aqua/Water/Eau, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Laureth-5 Carboxylic Acid, Sodium Chloride, Caprylyl/Capryl Glucoside, Parfum/Fragrance, Peg-59 Propylene Glycol Oleate, Propylene Glycol, Citric Acid, Hexylene Glycol, Sodium Benzoate, Potassium Hydroxide, Peg-40 Hydrogenated Castor Oil, Salicylic Acid, Polyquaternium-67, Benzoic Acid, Limonene, Linalool, Bertholletia Excelsa Seed Oil, Butyrospermum Parkii Butter/Shea Butter, Orbignya Oleifera Seed Oil, F.I.L."
