Product ID,Picture URL,Description,Health Facts,Highlights
T1,https://target.scene7.com/is/image/Target/GUEST_a60567e7-52fc-4b00-a6ba-34707d47ca57?wid=800&hei=800&qlt=80&fmt=pjpeg,"Eva NYC Freshen Up Invisible Dry Shampoo is perfect for busy schedules and helping to keep hair looking fresh longer without washing. The invisible formula instantly revives lifeless hair by absorbing excess oil and odor, leaving it clean, fresh and bouncy. This dry shampoo will give you that just-washed look...even on day 3.

Freshen Up Invisible Dry Shampoo is 100% safe to use, with no detectable benzene.

Hero Ingredients:
Argan Oil – contains powerful antioxidants and vitamins A, C, and E.
Plant Protein – hydrates and smooths damage for healthy-looking hair. Reduces the appearance of breakage, making brittle hair feel silky smooth.
Rice Starch – a light and porous powder that absorbs dirt and oils while providing separation, volume and texture to your locks.

Fragrance:
Eva NYC's Signature fragrance includes notes of Freesia, Plum, White Flowers (Jasmine, Gardenia, Magnolia), Woody Warm Amber, Bourbon Vanilla & White Musk. A very warm, fresh scent overall.

How To:
Use on dry hair. Shake can before use and hold 10-12 inches away from scalp and spray lightly for even coverage. Use fingertips to massage through roots. Style as desired.","Phthalate-Free, Paraben-Free, Dye-Free, Gluten-Free, Contains Vitamin C, Contains Argan Oil, Sulfate-Free, Mineral Oil-Free","Weightless spray that cleans without water, absorbs excess oil and adds instant volume, Made with natural rice starch which is gentle on hair and leaves no white residue, while Vitamin C & fatty acids enhance shine, nourish and repair, Refreshes all hair types, Safe for color, keratin, and Brazilian-treated hair, Certified cruelty-free through Leaping Bunny, certified vegan, GMO-free, Free from sulfates, parabens, phthalates, artificial colors, mineral oil, and gluten"
T2,https://target.scene7.com/is/image/Target/GUEST_d1317277-0a21-4163-b277-6ac73760dba7?wid=800&hei=800&qlt=80&fmt=pjpeg,"Take your hair from flat to fab with Batiste Tropical Dry Shampoo. Our waterless formula targets excess oil, dirt, and grease at the roots. Batiste Tropical locks in subtle, exotic scents of coconut, vanilla, and jasmine that never overpower. Just spray in, massage, style, and go. Batiste Dry Shampoo instantly makes your hair feel clean, fresh, with added body and texture. Perfect for the girl-on-the-go, our Mini 1.6 fl. oz. bottle is perfect for touch-ups at the gym, the office, or out on the town. Let's face it, life gets crazy sometimes and skipping a wash (or two) is inevitable. With Batiste Dry Shampoo, you can be confident your hair looks great no matter what life throws your way.","Phthalate-Free, Paraben-Free, Dye-Free, Gluten-Free, Contains Vitamin C, Contains Argan Oil, Sulfate-Free, Mineral Oil-Free","Batiste is the world’s #1 dry shampoo, Tropical fragrance: Enjoy an exotic fragrance with hints of coconut, jasmine, and peach, Use Batiste dry shampoo between washes to instantly refresh your hair, no water required, This waterless formula absorbs dirt and grease to revitalize dull and lifeless hair—now with keratin!, Removes oils for added texture and volume"
T3,https://target.scene7.com/is/image/Target/GUEST_627c2a95-d774-4edc-8747-e341fa4636c8?wid=800&hei=800&qlt=80&fmt=pjpeg,"Take your hair from flat to fab with Batiste Tropical Dry Shampoo. This waterless shampoo targets excess oil and grease at the roots to breathe new life into your hair, leaving you feeling clean between washes. Batiste Tropical Dry Shampoo has a happy and summery scent that gets you ready to face the world, while dreaming of vacation. The Batiste Tropical spray locks in subtle, exotic scents of coconut, vanilla, and jasmine that never overpower. Batiste Dry Shampoo instantly makes your hair feel clean and fresh by removing oil, and provides added body and hair texture to give the appearance of fuller hair. Perfect for the girl-on-the-go, using this vanilla, jasmine and coconut dry shampoo spray helps save time by making styling your hair fast and easy. Let's face it, life gets crazy sometimes and skipping a wash (or two) is inevitable. Using this dry shampoo spray is easy. Shake the shampoo bottle thoroughly, section your hair and spray as much as you want 12 inches from your roots, use your fingertips to massage the Batiste shampoo into your hair and brush or style your hair however you want so you can get going. With Batiste Dry Shampoo, you can be confident your hair looks great no matter what life throws your way.","Phthalate-Free, Paraben-Free, Dye-Free, Gluten-Free, Contains Vitamin C, Contains Argan Oil, Sulfate-Free, Mineral Oil-Free","Batiste is worth the hype, America’s #1 Dry Shampoo cleans better than prestige brands, Dry shampoo formulated to target excess oil and grease at the roots to leave your hair feeling clean between washes, Upgrade your hair care and enjoy this tropical shampoo with scents of coconut, jasmine, and vanilla that will leave your hair smelling great, Waterless shampoo formula that is effective for several hair types and perfect for the girl-on-the-go, This dry scented shampoo also removes oils to provide added hair texture and volume that gives the appearance of fuller hair"
T6,https://target.scene7.com/is/image/Target/GUEST_ddf20e1d-bb9c-4bab-9c3e-dde260950b6e?wid=800&hei=800&qlt=80&fmt=pjpeg,"Eva NYC Freshen Up Invisible Dry Shampoo is perfect for busy schedules and helping to keep hair looking fresh longer without washing. The invisible formula instantly revives lifeless hair by absorbing excess oil and odor, leaving it clean, fresh and bouncy. This dry shampoo will give you that just-washed look...even on day 3.

Freshen Up Invisible Dry Shampoo is 100% safe to use, with no detectable benzene.

Hero Ingredients:
Argan Oil – contains powerful antioxidants and vitamins A, C, and E.
Plant Protein – hydrates and smooths damage for healthy-looking hair. Reduces the appearance of breakage, making brittle hair feel silky smooth.
Rice Starch – a light and porous powder that absorbs dirt and oils while providing separation, volume and texture to your locks.

Fragrance:
Eva NYC's Signature fragrance includes notes of Freesia, Plum, White Flowers (Jasmine, Gardenia, Magnolia), Woody Warm Amber, Bourbon Vanilla & White Musk. A very warm, fresh scent overall.

How To:
Use on dry hair. Shake can before use and hold 10-12 inches away from scalp and spray lightly for even coverage. Use fingertips to massage through roots. Style as desired.","Contains Argan Oil, Mineral Oil-Free, Paraben-Free, Gluten-Free, Phthalate-Free, Dye-Free, Contains Vitamin C","Now available in 7.3oz value size!, Weightless spray that cleans without water, absorbs excess oil and adds instant volume, Made with natural rice starch which is gentle on hair and leaves no white residue, while Vitamin C & fatty acids enhance shine, nourish and repair, Refreshes all hair types, Safe for color, keratin, and Brazilian-treated hair, Certified cruelty-free through Leaping Bunny, certified vegan, GMO-free, Free from sulfates, parabens, phthalates, artificial colors, mineral oil, and gluten"
T8,https://target.scene7.com/is/image/Target/GUEST_9a2dd85a-3875-4fa5-8943-741981b2c125?wid=800&hei=800&qlt=80&fmt=pjpeg,"New Batiste Texturizing Dry Shampoo refreshes hair and adds a soft, sultry texture for that effortlessly undone look that adds tousled beachy texture but still smells and feels fresh. It's made with rice starch and sea kelp and removes oil effectively for hair that looks clean and adds grip and texture. New from the #1 Dry Shampoo brand!","Contains Argan Oil, Mineral Oil-Free, Paraben-Free, Gluten-Free, Phthalate-Free, Dye-Free, Contains Vitamin C","New from the #1 dry shampoo brand, Refresh hair and add soft, sultry texture that looks effortlessly undone, For tousled beachy texture that still smells and feels fresh, Made with rice starch and sea kelp. Removes oil effectively to leave hair looking clean with added grip and texture, Absorb grease & oil for fresh-feeling hair between washes"
T10,https://target.scene7.com/is/image/Target/GUEST_578dcbe7-f203-4a45-a769-1cf4eb4fb54d?wid=800&hei=800&qlt=80&fmt=pjpeg,"At Viviscal, we understand the science of healthy hair growth from the inside out. Viviscal Volumizing Dry Shampoo removes oil instantly to refresh and restore volume and texture. It allows you to go longer between washes and leaves your hair looking full with touchable body and long lasting freshness. Fortified with Keratin and Marine Collagen to protect hair from heat damage caused by heated tools. For best results, nourish your hair from within with Viviscal Hair Supplements.","Contains Argan Oil, Mineral Oil-Free, Paraben-Free, Gluten-Free, Phthalate-Free, Dye-Free, Contains Vitamin C","Instantly refreshes and revives hair by removing oil to help reduce frequent washing of delicate, thin hair, Fortified with marine collagen and added keratin to protect against damage, Restores volume and leaves hair looking full with touchable body, Viviscal Volumizing Dry Shampoo is suitable for everyday use and all hair types, Floral fresh signature fragrance infused with lush greens, dewy florals, and hints of ocean breeze"
T11,https://target.scene7.com/is/image/Target/GUEST_94b3c4b1-6804-4ba9-9f0d-4089ce76611a?wid=800&hei=800&qlt=80&fmt=pjpeg,"Strengthening Shampoo: This shampoo with biotin provides intense moisture for all hair types with a gentle formula that nourishes, cleanses and helps strengthen weak and brittle hair
Rosemary Mint Collection: Rosemary Mint products are infused with Biotin for the ultimate help with strenghtening hair; Stop those pesky split ends and welcome healthy, shiny twist outs into your life with the extra nourishment of
Hair Products for All Hair Types: We promote the health and maintenance of natural hair from Types 3A to 4C natural hair, however our products are suitable for all hair types and we feature products for both low and high porosity levels
Natural Haircare: We continue to produce quality natural hair care products like oils, detanglers, shampoo, conditioners, moisturizers and more that help nourish hair through all of its phases
Women Owned: With a heavy emphasis on incorporating organic ingredients being its “root to results,” Mielle Organics continues to create a line of natural beauty products by women & for women of all hair types


Deep Moisture and Healthy Strength
Both rosemary and mint essential oils are known to increase blood circulation which allows for more oxygen to be carried to your scalp. More oxygen will stimulate your hair follicles, resulting in nourished and thicker hair.

Longer and Heathier
If increasing your hair length is one of your top hair concerns, then you have come to the right place. For the women wearing their hair in protective styles, just a couple drops of our Rosemary Mint Strengthening Oil at your roots is what you need to keep your strands long and luscious.

Shinier Hair
For a bouncy, natural style, use our Rosemary Mint Strengthening Shampoo and bring back shine to your curly hair! With a combination of our natural ingredients and commitment to a strict hair regime, your definition of healthy hair will be taken to a whole new level.","Butylparaben-Free, Formaldehyde Donor-Free, Phthalate-Free, Propylparaben-Free, Formaldehyde-Free, Nonylphenol Ethoxylate Free","Infused with biotin, Gently cleanses and protects hair, Smells great!, Made with certified organic ingredients"
T12,https://target.scene7.com/is/image/Target/GUEST_f9138b2f-c9a0-44a7-ad7b-2821adbee4f9?wid=800&hei=800&qlt=80&fmt=pjpeg,"""Hydrate & restore hair with OGX Nourishing + Coconut Milk Shampoo. This shampoo from the #1 Hair Repair Brand* delivers immediate softness after the first use. Our new & improved formula protects hair from excessive loss of lipids & proteins which creates frizz & breakage. Now with LipiPro Shield (TM) Technology, this hydrating shampoo provides 2x more protein & lipid protection** for healthy hair. Coconut milk infused formula softens strands for smooth & healthy hair while the creamy coconut, white peach & shea butter scent leaves hair smelling irresistible. Apply to wet hair, massage into a lather, rinse & follow with an OGX conditioner. Shampoo carefully formulated to be without sulfated surfactants, parabens, phthalates, microplastics, & dyes.

*JJCI calculations based on Scantrack for Hair Care category for the 52 weeks ending 12/02/2023 time period, for the total U.S. marketing, xAOC. Copyright © 2023, Nielsen Consumer LLC
**vs. non-conditioning shampoo, with continuous use""","Phthalate-Free, Contains Coconut Oil, Sodium Lauryl Sulfate-Free, Paraben-Free, Dye-Free, Aluminum-Free, Sulfate-Free","OGX Nourishing + Coconut Milk Moisturizing Shampoo to hydrate & restore dry, damaged hair, The hair wash with an intensely moisturizing formula delivers immediate softness after the first use, New formula protects hair from excessive loss of lipids & proteins which creates frizz & breakage, New LipiPro Shield (TM) Technology delivers 2x more protein & lipid protection** for healthy hair, Moisturizing shampoo supports hair’s protein & lipid barrier for your heathiest hair, Use this coconut & white peach scented shampoo with OGX Conditioner for your hair routine, Carefully formulated to be without sulfated surfactants, parabens, phthalates, microplastics, & dyes, From the #1 Hair Repair Brand,* protect against damage & achieve healthy hair in just one wash"
T13,https://target.scene7.com/is/image/Target/GUEST_c7b15383-2e32-494c-bb15-8682359d135a?wid=800&hei=800&qlt=80&fmt=pjpeg,"Give your curls a moisture boost! TRESemmé Flawless Curls Shampoo has nourishing and strengthening powers to quench and care for your curls, leaving your hair soft and manageable. This curl shampoo created specifically for curly hair nourishes and strengthens, while being gentle enough for daily use. Hydration is your secret weapon. TRESemmé Flawless Curls Shampoo and Conditioner boost moisture where your hair needs it most. Designed for wavy or curly hair, our advanced curl hydration system provides maximized moisturization by targeting your driest areas with this curly hair shampoo. Our specially designed curly hair shampoo, infused with Coconut Essence, locks in moisture for quenched, soft curls that are soft to the touch, leaving you with strands ready to be styled into stunning curls, every time. Plus, this shampoo for curly hair is so light and gentle, you can use it daily. The salon level Pro Style Technology in this curl care shampoo, made with amino acids & ceramide, makes hair 3x stronger, 3x more manageable, and resistant from breakage (vs. a non conditioning shampoo). Make your hair the perfect canvas with this moisturizing shampoo for curly hair. Step 1: Coat hair with a liberal amount of TRESemmé Flawless Curls cleansing shampoo. Step 2: Shampoo hair and gently massage the scalp and roots with fingertips to work into a lather. Step 3: Work through from roots to ends and rinse thoroughly. Step 4: Finish with TRESemmé Flawless Curls Conditioner and style with your favorite TRESemmé Flawless Curls styling aids as needed. TRESemmé Flawless Curls hair shampoo and conditioner nourish and strengthen for flawless ringlets and waves. This shampoo for curly hair is free from Parabens, Mineral Oils, and DMDM Hydantoin. We've always understood that style is more than a look, it's a powerful tool to help you achieve your dreams. With our professional quality care, a world of style possibilities is yours to achieve. Every choice we make at TRESemmé, from the values we promote-such as not testing on animals and being PETA approved to the carefully selected ingredients we use, are made to give you professional salon quality haircare products you can trust. Because 70 years on, we believe in the power of style. So tell your story, make your mark and achieve your aspirations with confidence. With TRESemmé, you can DO IT WITH STYLE",Contains Vitamin B,"FLAWLESS CURLS SYSTEM: TRESemmé Flawless Curls system is a curl care shampoo and conditioner that lock in moisture for quenched, soft curls that are soft to touch, PRO STYLE TECHNOLOGY: With amino acids & ceramide, this salon level technology makes hair 3x stronger and more manageable with continuous use. versus a non conditioning shampoo, COCONUT ESSENCE: This moisturizing shampoo's salon level formula leaves curly hair strong and effortlessly manageable, so you have the perfect base to create any style, TRUSTED QUALITY: This shampoo for curly hair is PETA approved and is free from Parabens, Mineral Oils, and DMDM Hydantoin, HAIR CARE TIPS FROM OUR STYLISTS: Follow this curl care shampoo with TRESemmé Flawless Curls Conditioner to keep your curls quenched and soft, NEW LOOK, SAME SALON PROFESSIONAL QUALITY: For a limited time, you may receive our trusted salon level professional quality shampoo in our previous design or our new design"
T14,https://target.scene7.com/is/image/Target/GUEST_94d468ae-e54f-4f31-8f1d-e33df7c5b6c8?wid=800&hei=800&qlt=80&fmt=pjpeg,"We’re on a mission to make hair care refreshingly simple. Native Coconut Milk & Turmeric Sulfate-Free 2 in 1 Shampoo & Conditioner uses just 10 thoughtful ingredients that let you say farewell to frizz. This 2 in 1 shampoo and conditioner provides weightless moisture for smooth, bouncy hair. Like all Native hair care products, it’s free of sulfates, parabens, silicone, and dye, and it’s cruelty-free. Just massage in, sing, and rinse. Life’s complicated enough, your hair care doesn’t have to be.","Paraben-Free, Formaldehyde Donor-Free, Sulfate-Free, Silicone-Free, Vegan, Formaldehyde-Free, Sodium Lauryl Sulfate-Free, Sodium Laureth Sulfate-Free, Phthalate-Free, Dye-Free","Thoughtfully made with 10 ingredients, Cleans and conditions hair in convenient 2-in-1 formula, Provides moisture without weighing hair down for smooth, bouncy hair, Free of sulfated surfactants, Paraben-free, silicone-free and dye-free, Vegan and cruelty-free, Infused with a creamy & cozy Coconut Milk & Turmeric scent"
