Brand,Product Name,Price,Rating,Number of Ratings,Link,Product Type,Product ID
NatureLab. Tokyo,Perfect Clean 2-In-1 Scalp Scrub & Clarifying Shampoo,$19.00 ,4.7,1027,https://www.ulta.com/p/perfect-clean-2-in-1-scalp-scrub-clarifying-shampoo-pimprod2013672?sku=2564029,Shampoo,U1
Color Wow,Dream Filter Pre-Shampoo Mineral Remover,$24.00 ,4.6,2172,https://www.ulta.com/p/dream-filter-pre-shampoo-mineral-remover-pimprod2044136?sku=2607939,Shampoo,U2
Viviscal,Volumizing Dry Shampoo,$19.99 ,4.5,225,https://www.ulta.com/p/volumizing-dry-shampoo-pimprod2043748?sku=2623373,Shampoo,U3
Garnier,Fructis Hair Filler Moisture Repair Shampoo,$9.99 ,4.6,224,https://www.ulta.com/p/fructis-hair-filler-moisture-repair-shampoo-pimprod2043443?sku=2620116,Shampoo,U4
Biolage,Color Last Shampoo,$24.00 - $42.00 ,4.5,3378,https://www.ulta.com/p/color-last-shampoo-xlsImpprod6490096?sku=2273894,Shampoo,U5
Living Proof,Perfect Hair Day Dry Shampoo,$30.00 - $43.00 ,4.5,2809,https://www.ulta.com/p/perfect-hair-day-dry-shampoo-pimprod2037265?sku=2604512,Shampoo,U6
Pureology,Strength Cure Shampoo,$37.00 - $90.00 ,4.6,3300,https://www.ulta.com/p/strength-cure-shampoo-pimprod2017814?sku=2565130,Shampoo,U7
Paul Mitchell,Tea Tree Special Shampoo,$20.00 - $50.00 ,4.5,3489,https://www.ulta.com/p/tea-tree-special-shampoo-xlsImpprod10271369?sku=2066538,Shampoo,U8
Living Proof,Perfect hair Day Advanced Clean Dry Shampoo,$33.00 - $45.00 ,4.7,1416,https://www.ulta.com/p/perfect-hair-day-advanced-clean-dry-shampoo-pimprod2027012?sku=2583168,Shampoo,U9
Redken,Acidic Color Gloss Sulfate Free Shampoo,$33.00 - $64.00 ,4.7,674,https://www.ulta.com/p/acidic-color-gloss-sulfate-free-shampoo-pimprod2042737?sku=2617579,Shampoo,U10
Joico,Defy Damage Protective Shampoo for Bond Strengthening and Color Longevity,$25.00 - $44.00 ,4.5,976,https://www.ulta.com/p/defy-damage-protective-shampoo-bond-strengthening-color-longevity-pimprod2004360?sku=2543143,Shampoo,U11
Paul Mitchell,Tea Tree Lavender Mint Moisturizing Shampoo,$25.00 - $56.00 ,4.5,1398,https://www.ulta.com/p/tea-tree-lavender-mint-moisturizing-shampoo-xlsImpprod10271349?sku=2206726,Shampoo,U12
Matrix,Food For Soft Hydrating Shampoo,$20.00 - $40.00 ,4.6,1164,https://www.ulta.com/p/food-soft-hydrating-shampoo-pimprod2038872?sku=2609296,Shampoo,U13
Mielle,Rosemary Mint Strengthening Shampoo,$10.99 ,4.7,1486,https://www.ulta.com/p/rosemary-mint-strengthening-shampoo-pimprod2033945?sku=2601427,Shampoo,U14
Redken,Hair Cleansing Cream Clarifying Shampoo,$26.00 - $52.00 ,4.6,443,https://www.ulta.com/p/hair-cleansing-cream-clarifying-shampoo-pimprod2014463?sku=2580404,Shampoo,U15
Biolage,Strength Recovery Shampoo for Damaged Hair,$24.00 - $42.00 ,4.5,922,https://www.ulta.com/p/strength-recovery-shampoo-damaged-hair-pimprod2034335?sku=2598755,Shampoo,U16
Batiste,Original Dry Shampoo - Clean & Classic,$12.49 - $20.99 ,4.5,21707,https://www.ulta.com/p/original-dry-shampoo-clean-classic-xlsImpprod2040049?sku=2515942,Shampoo,U17
Joico,K-PAK Color Therapy Color-Protecting Shampoo,$23.00 - $42.50 ,4.5,458,https://www.ulta.com/p/k-pak-color-therapy-color-protecting-shampoo-pimprod2018623?sku=2563137,Shampoo,U18
Bondi Boost,HG Shampoo for Thinning Hair,$24.00 - $30.00 ,4.6,10520,https://www.ulta.com/p/hg-shampoo-thinning-hair-pimprod2045183?sku=2623814,Shampoo,U19
Biolage,Scalp Sync Clarifying Shampoo,$24.00 - $42.00 ,4.8,262,https://www.ulta.com/p/scalp-sync-clarifying-shampoo-pimprod2044108?sku=2620866,Shampoo,U20
Matrix,So Silver Purple Shampoo for Blonde Hair,$20.00 - $40.00 ,4.5,2580,https://www.ulta.com/p/so-silver-purple-shampoo-blonde-hair-xlsImpprod6490252?sku=2296952,Shampoo,U21
Paul Mitchell,Original Awapuhi Moisture Balancing Shampoo,$14.50 - $30.50 ,4.5,816,https://www.ulta.com/p/original-awapuhi-moisture-balancing-shampoo-xlsImpprod10271257?sku=6021124,Shampoo,U22
Living Proof,Clarifying Detox Shampoo,$36.00 - $69.00 ,4.8,697,https://www.ulta.com/p/clarifying-detox-shampoo-pimprod2042821?sku=2616908,Shampoo,U23
Pureology,Nanoworks Gold Shampoo,$50.00 - $130.00 ,4.5,4077,https://www.ulta.com/p/nanoworks-gold-shampoo-pimprod2017798?sku=2565125,Shampoo,U24
Pureology,Strength Cure Blonde Purple Shampoo,$37.00 - $90.00 ,4.5,2265,https://www.ulta.com/p/strength-cure-blonde-purple-shampoo-pimprod2017806?sku=2565123,Shampoo,U25
Bumble and bumble,Thickening Volume Shampoo,$36.00 - $103.00 ,4.5,300,https://www.ulta.com/p/thickening-volume-shampoo-xlsImpprod16451018?sku=2516136,Shampoo,U26
PATTERN,Hydration Shampoo,$21.00 - $45.00 ,4.6,3925,https://www.ulta.com/p/hydration-shampoo-pimprod2009727?sku=2552733,Shampoo,U27
Kitsch,Rice Water Protein Hair Shampoo Bar,$14.00 ,4.5,3314,https://www.ulta.com/p/rice-water-protein-hair-shampoo-bar-pimprod2029681?sku=2592294,Shampoo,U28
Sol de Janeiro,Brazilian Joia Strengthening + Smoothing Shampoo,$12.00 - $26.00 ,4.7,3791,https://www.ulta.com/p/brazilian-joia-strengthening-smoothing-shampoo-pimprod2043092?sku=2618341,Shampoo,U29
Living Proof,Travel Size Perfect Hair Day Dry Shampoo,$16.00 ,4.5,2809,https://www.ulta.com/p/travel-size-perfect-hair-day-dry-shampoo-pimprod2037266?sku=2604513,Shampoo,U30
Bumble and bumble,Hairdresser's Invisible Oil Hydrating Shampoo,$36.00 - $103.00 ,4.5,507,https://www.ulta.com/p/hairdressers-invisible-oil-hydrating-shampoo-xlsImpprod16451012?sku=2542050,Shampoo,U31
Briogeo,Scalp Revival MegaStrength+ Dandruff Relief Shampoo Charcoal + AHA/BHA,$42.00 ,4.6,222,https://www.ulta.com/p/scalp-revival-megastrength-dandruff-relief-shampoo-charcoal-ahabha-pimprod2034489?sku=2600267,Shampoo,U32
Bondi Boost,Thickening Therapy Shampoo,$30.00 ,4.5,140,https://www.ulta.com/p/thickening-therapy-shampoo-pimprod2044294?sku=2621448,Shampoo,U33
