Product Name,Brand,Price,Rating,Number of Ratings,Link,Product Type,Product ID
Eva NYC Freshen Up Invisible Dry Shampoo - 5.3oz,Eva NYC,$13.99,4.5,3177,https://www.target.com/p/eva-nyc-freshen-up-invisible-dry-shampoo-5-3oz/-/A-50409856#lnk=sametab,Shampoo,T1
Batiste Tropical Dry Shampoo Exotic Coconut,Batiste,$4.39 - $8.99,4.5,1303,https://www.target.com/p/batiste-tropical-dry-shampoo-exotic-coconut/-/A-89417796?preselect=76440192#lnk=sametab,Shampoo,T2
Batiste Tropical Exotic Coconut Dry Shampoo - 5.71oz,Batiste,$12.99,4.7,321,https://www.target.com/p/batiste-tropical-exotic-coconut-dry-shampoo-5-71oz/-/A-82674090#lnk=sametab,Shampoo,T3
Batiste Fresh Breezy Citrus Dry Shampoo - 3.81oz,Batiste,$8.99,4.6,321,https://www.target.com/p/batiste-fresh-breezy-citrus-dry-shampoo-3-81oz/-/A-52436020#lnk=sametab,Shampoo,T4
Living Proof Perfect Hair Day Dry Shampoo - Ulta Beauty,Living Proof,$16.00 - $43.00,4.5,2858,https://www.target.com/p/living-proof-perfect-hair-day-dry-shampoo-ulta-beauty/-/A-89443866?preselect=88703297#lnk=sametab,Shampoo,T5
Eva NYC Freshen Up Invisible Value Dry Shampoo - 7.3oz,Eva NYC,$17.99,4.6,683,https://www.target.com/p/eva-nyc-freshen-up-invisible-value-dry-shampoo-7-3oz/-/A-89157402#lnk=sametab,Shampoo,T6
Living Proof Perfect Hair Day Advanced Clean Dry Shampoo - Ulta Beauty,Living Proof,$18.00 - $33.00,4.5,1541,https://www.target.com/p/living-proof-perfect-hair-day-advanced-clean-dry-shampoo-ulta-beauty/-/A-89443043?preselect=88703298#lnk=sametab,Shampoo,T7
Batiste Texturizing Dry Shampoo - 3.81oz,Batiste,$10.49,4.6,154,https://www.target.com/p/batiste-texturizing-dry-shampoo-3-81oz/-/A-86881496#lnk=sametab,Shampoo,T8
COLAB Blonde Corrector Dry Shampoo - Bergamot and Rose Scented - 6.1oz,COLAB,$9.99,4.5,101,https://www.target.com/p/colab-blonde-corrector-dry-shampoo-bergamot-and-rose-scented-6-1oz/-/A-86919014#lnk=sametab,Shampoo,T9
Viviscal Dry Shampoo - 3.81oz,Viviscal,$12.99,4.5,226,https://www.target.com/p/viviscal-dry-shampoo-3-81oz/-/A-89203168#lnk=sametab,Shampoo,T10
