Product ID,Link
T1,https://www.target.com/p/eva-nyc-freshen-up-invisible-dry-shampoo-5-3oz/-/A-50409856#lnk=sametab
T2,https://www.target.com/p/batiste-tropical-dry-shampoo-exotic-coconut/-/A-89417796?preselect=76440192#lnk=sametab
T3,https://www.target.com/p/batiste-tropical-exotic-coconut-dry-shampoo-5-71oz/-/A-82674090#lnk=sametab
T4,https://www.target.com/p/batiste-fresh-breezy-citrus-dry-shampoo-3-81oz/-/A-52436020#lnk=sametab
T5,https://www.target.com/p/living-proof-perfect-hair-day-dry-shampoo-ulta-beauty/-/A-89443866?preselect=88703297#lnk=sametab
T6,https://www.target.com/p/eva-nyc-freshen-up-invisible-value-dry-shampoo-7-3oz/-/A-89157402#lnk=sametab
T7,https://www.target.com/p/living-proof-perfect-hair-day-advanced-clean-dry-shampoo-ulta-beauty/-/A-89443043?preselect=88703298#lnk=sametab
T8,https://www.target.com/p/batiste-texturizing-dry-shampoo-3-81oz/-/A-86881496#lnk=sametab
T9,https://www.target.com/p/colab-blonde-corrector-dry-shampoo-bergamot-and-rose-scented-6-1oz/-/A-86919014#lnk=sametab
T10,https://www.target.com/p/viviscal-dry-shampoo-3-81oz/-/A-89203168#lnk=sametab
T11,https://www.target.com/p/mielle-organics-rosemary-mint-strengthening-shampoo-12-fl-oz/-/A-75566112#lnk=sametab
T12,https://www.target.com/p/ogx-nourishing-coconut-milk-shampoo/-/A-14568171?preselect=10997292#lnk=sametab
T13,https://www.target.com/p/tresemme-flawless-curls-moisturizing-shampoo-for-curly-hair-28-fl-oz/-/A-80135504#lnk=sametab
T14,https://www.target.com/p/native-coconut-milk-38-turmeric-curls-2-in-1-16-5oz/-/A-87432650#lnk=sametab
T15,https://www.target.com/p/happy-hair-people-ride-the-waves-shampoo-12-fl-oz/-/A-89202737#lnk=sametab
T16,https://www.target.com/p/pantene-pro-v-miracles-curl-defining-coconut-shea-shampoo-sulfate-free-10-9-fl-oz/-/A-89170358#lnk=sametab
T17,https://www.target.com/p/mane-39-n-tail-herbal-gro-olive-oil-infused-strengthens-38-nourishes-shampoo-27-05-fl-oz/-/A-51188212#lnk=sametab
T18,https://www.target.com/p/function-of-beauty-wavy-hair-shampoo-jumbo-22-fl-oz/-/A-88660645#lnk=sametab
T19,https://www.target.com/p/pattern-hydration-shampoo-ulta-beauty/-/A-84230372?preselect=82550462#lnk=sametab
T20,https://www.target.com/p/carol-39-s-daughter-born-to-repair-sulfate-free-nourishing-shampoo-11-fl-oz/-/A-86901555#lnk=sametab
T21,https://www.target.com/p/pattern-clarifying-shampoo-7-8-fl-oz-ulta-beauty/-/A-82550447#lnk=sametab
T22,https://www.target.com/p/mielle-organics-babassu-oil-conditioning-sulfate-free-shampoo-8-fl-oz/-/A-50661863#lnk=sametab
T23,https://www.target.com/p/curlsmith-essential-moisture-cleanser-12-fl-oz-ulta-beauty/-/A-87886557#lnk=sametab
