Product ID,Ingredients
U1,"Sucrose, Glycerin, Sodium C14-16 Olefin Sulfonate, Cocamide Mea, Glycol Distearate, Aqua (Eau, Water), Ricinus Communis (Castor) Seed Oil, Saccharomyces/Rice Ferment Filtrate, Salix Alba (Willow) Bark Extract, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Vitis Vinifera (Grape) Fruit Extract, Argania Spinosa Callus Culture Extract, Malus Domestica Fruit Cell Culture Extract, Glutamic Acid, Sodium Pca, Hydrolyzed Coix Lacryma-Jobi Ma-Yuen Seed, Platinum Powder, Trigonella Foenum-Graecum Hydroxypropyltrimonium Chloride, Locust Bean Hydroxypropyltrimonium Chloride, Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Prunus Domestica Seed Extract, Argania Spinosa Kernel Oil, Lupinus Albus Seed Oil, Mangifera Indica (Mango) Seed Oil, Theobroma Grandiflorum Seed Butter, Adansonia Digitata Seed Oil, Carapa Guaianensis Seed Oil, Sclerocarya Birrea Seed Oil, Argan Oil Polyglyceryl-6 Esters, Sodium Cocoyl Glycinate, Propanediol, Cocamidopropyl Betaine, Butylene Glycol, Guar Hydroxypropyltrimonium Chloride, Isomalt, Xanthan Gum, Polysorbate 80, Citric Acid, Sodium Citrate, Trisodium Phosphate, Sodium Chloride, Lecithin, Bht, Sodium Gluconate, Phenoxyethanol, Sodium Benzoate, Fragrance."
U2,"Aqua/Water, Acrylic Acid/Acrylamidomethyl Propane Sulfonic Acid Copolymer, Cocoamidopropyl Hydroxysultaine, Sodium Polystyrene Sulfonate, Glycerin, Phenoxyethanol, Tetrasodium Glutamate Diacetate, Ethylhexylglycerin, Sodium Phytate FORMULA #308-1a"
U3,"Butane, Hydrofluorocarbon 152A, Oryza Sativa (Rice) Starch, Alcohol Denat., Aluminum Starch Octenylsuccinate, Cramibe Abyssinica (Abyssimian) Seed Oil, Parfum (Fragrance), Cocoyl Hydrolyzed Keratin, Hydrolyzed Collagen, Distearyldinionium Chloride, Getrimonium Chloride, Linalool, Hexyl Cinnamal, Linonene, Citronellol."
U4,"1101918 FS2 - Ingredients: Aqua / Water / Eau, Sodium C14-16 Olefin Sulfonate, Cocamide Mea, Glycerin, Cocamidopropyl Betaine, Glycol Distearate, Sodium Lauroyl Sarcosinate, Parfum / Fragrance, Hexylene Glycol, Citric Acid, Sodium Hydroxide, Sodium Chloride, Sodium Benzoate, Peg-55 Propylene Glycol Oleate, Propylene Glycol, Coco-Betaine, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Carbomer, Arginine, Salicylic Acid, Benzoic Acid, Polyquaternium-7, Linalool, Limonene, Benzyl Alcohol, Citronellol, Sodium Hyaluronate (F.I.L. T70031019/1)."
U5,"Aqua / Water / Eau, Sodium Laureth Sulfate, Coco-Betaine, Sodium Chloride, Glycol Distearate, Dimethicone, Parfum / Fragrance, Sodium Benzoate, Hexylene Glycol, Cocamide Mipa, Salicylic Acid, Carbomer, Guar Hydroxypropyltrimonium Chloride, Limonene, Hexyl Cinnamal, Coumarin, Linalool, Butylphenyl Methylpropional, Benzyl Alcohol, Benzophenone-4, Hydroxycitronellal, Amyl Cinnamal, Methyl Cocoate, Orchis Mascula Extract, Sodium Cocoate, Sodium Hydroxide, Citric Acid."
U6,"Hydrofluorocarbon 152a, Isobutane, Alcohol Denat., Oryza Sativa (Rice) Starch, Propane, Hydroxypropylcellulose, Microcrystalline Cellulose, Dipropylene Glycol, Cetrimonium Chloride, Caprylyl Glycol, Disteardimonium Hectorite, Pentylene Glycol, Propanediol, Citronellyl Methylcrotonate, Cellulose, Water/Eau/Aqua, Furcellaria Lumbricalis Extract, Zeolite, Ethylcellulose, C12-15 Alketh-2, Fragrance/Parfum, Ethylhexylglycerin, Limonene, Citronellol, Hexyl Cinnamal, Benzyl Salicylate, Citral, Linalool"
U7,"Aqua/Water/Eau, Sodium Cocoyl Isethionate, Disodium Laureth Sulfosuccinate, Sodium Lauryl Sulfoacetate, Sodium Lauroyl Sarcosinate, Coco-Betaine, Glycol Distearate, Glycereth-26, Decyl Glucoside, Coconut Acid, Sodium Hydroxide, Parfum/Fragrance, Sodium Isethionate, Citric Acid, Ppg-5-Ceteth-20, Sodium Chloride, Divinyldimethicone/Dimethicone Copolymer, Polyquaternium-7, Amodimethicone, Polyquaternium-10, Carbomer, Acrylates Copolymer, Peg-55 Propylene Glycol Oleate, Propylene Glycol, C11-15 Pareth-7, Hexyl Cinnamal, Benzoic Acid, Laureth-9, Butylene Glycol, Glycerin, Linalool, Tocopherol, Olea Europaea Fruit Oil/Olive Fruit Oil, Camelina Sativa Seed Oil, Trideceth-12, Salicylic Acid, Helianthus Annuus Seed Extract/Sunflower Seed Extract, Sodium Benzoate, Magnesium Nitrate, Benzyl Alcohol, C12-13 Pareth-23, C12-13 Pareth-3, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Limonene, Arginine, 2-Oleamido-1,3-Octadecanediol, Poly (Linseed Oil), Benzophenone-4, Phenoxyethanol, Citronellol, Ci 14700/Red 4, Methylchloroisothiazolinone, Sorbic Acid, Haematococcus Pluvialis Extract, Magnesium Chloride, Methylisothiazolinone, Caprylic/Capric Triglyceride, Potassium Sorbate, CI 15510/Orange 4."
U8,"Aqua (Water, Eau), Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Sodium Lauryl Sulfate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Panthenol, Menthyl Lactate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Polyquaternium-7, Glycol Stearate, PEG-150 Distearate, Glycerin, Magnesium Nitrate, Magnesium Chloride, Sodium Chloride, Menthol, Citric Acid, Sodium Sulfate, Tetrasodium EDTA, Sodium Hydroxide, Sodium Benzoate, Methylchloroisothiasolinone, Methylisothiazolinone, Fragrance (Parfum), Terpineol, Lavandula Oil/Extract, Linalool, Linalyl Acetate, Pinene, Terpinolene, Beta-Caryophyllene, Limonene, Turpentine, Citronellol, Yellow 5 (CI 19140), Blue 1 (CI 42090)"
U9,"Hydrofluorocarbon 152a, Isobutane, Alcohol Denat., Oryza Sativa (Rice) Starch, Propane, Cyclodextrin, Zea Mays (Corn) Starch, Furcellaria Lumbricalis Extract, Hydrated Silica, Hydroxypropyl Arginine Lauryl/Myristyl Ether HCl, Tetraselmis Suecica Extract, Isopropyl Lauroyl Sarcosinate, Cetrimonium Chloride, Glycerin, Mannitol, Polyvinyl Alcohol, Disteardimonium Hectorite, Water/Eau/Aqua, Fragrance/Parfum, Citronellyl Methylcrotonate, Linalool, Citronellol, Benzyl Salicylate, Citral, Limonene."
